ID,Pelicula,Estudio/Distribuidor,Recaudación Mundial,Año
1,Avatar,20th Century Fox,2923706026,2009
2,Avengers: Endgame,Walt Disney Studios Motion Pictures,2799439100,2019
3,Avatar: The Way of Water,Walt Disney Studios Motion Pictures,2320250281,2022
4,Titanic,20th Century Fox/Paramount Pictures,2264743305,1997
5,Star Wars: Episodio VII - El despertar de la Fuerza,Walt Disney Studios Motion Pictures,2071310218,2015
6,Avengers: Infinity War,Walt Disney Studios Motion Pictures,2052415039,2018
7,Spider-Man: No Way Home,Sony Pictures,1921847111,2021
8,Jurassic World,Universal Pictures,1671537444,2015
9,El rey león,Walt Disney Studios Motion Pictures,1663075401,2019
10,The Avengers,Walt Disney Studios Motion Pictures,1520538536,2012
11,Furious 7,Universal Pictures,1515341399,2015
12,Top Gun: Maverick,Paramount Pictures,1495696292,2022
13,Frozen II,Walt Disney Studios Motion Pictures,1453683476,2019
14,Barbie,Warner Bros.,1445638421,2023
15,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,1405018048,2015
16,Frozen,Walt Disney Studios Motion Pictures,1397042530,2013
17,Super Mario Bros.: la película,Universal Pictures,1361949854,2023
18,Harry Potter y las reliquias de la Muerte: parte 2,Warner Bros.,1356841356,2011
19,Black Panther,Walt Disney Studios Motion Pictures,1349926083,2018
20,Star Wars: Episodio VIII - Los últimos Jedi,Walt Disney Studios Motion Pictures,1334407706,2017
21,Jurassic World: el reino caído,Universal Pictures,1310466296,2018
22,La bella y la bestia,Walt Disney Studios Motion Pictures,1266115964,2017
23,Los Increíbles 2,Walt Disney Studios Motion Pictures,1243225667,2018
24,The Fate of the Furious,Universal Pictures,1236005118,2017
25,Iron Man 3,Walt Disney Studios Motion Pictures,1215577205,2013
26,Minions,Universal Pictures,1159444662,2015
27,El Señor de los Anillos: el retorno del Rey,New Line Cinema,1156194180,2003
28,Capitán América: Civil War,Walt Disney Studios Motion Pictures,1155046416,2016
29,Aquaman,Warner Bros.,1152028393,2018
30,Skyfall,Sony Pictures ReleasingUnited Artists Releasing,1142471295,2012
31,Spider-Man: lejos de casa,Sony Pictures,1131927996,2019
32,Capitana Marvel,Walt Disney Studios Motion Pictures,1131416446,2019
33,Transformers: el lado oscuro de la luna,Paramount Pictures,1123794079,2011
34,The Dark Knight Rises,Warner Bros.,1114085030,2012
35,Jurassic Park,Universal Pictures,1113138548,1993
