nombre,apellido,nickname,codigociudad,total-ganancias,juego,genero
Peter,Rasmussen,dupreeh,dk,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter
Andreas,Højsleth,Xyp9x,dk,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter
Nicolai,Reedtz,dev1ce,dk,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter
Lukas,Rossander,gla1ve,dk,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter
Emil,Reif,Magisk,dk,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter
Jakey,Yip,Stewie2k,us,1087340.0,Counter-Strike: Global Offensive,First-Person Shooter
Epitácio,de Melo,TACO,br,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter
Fernando,Alvarenga,fer,br,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter
Gabriel,Toledo,FalleN,br,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter
Marcelo,David,coldzera,br,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter
Keith,Markovic,NAF,ca,982765.66,Counter-Strike: Global Offensive,First-Person Shooter
Finn,Andersen,karrigan,dk,964635.39,Counter-Strike: Global Offensive,First-Person Shooter
Jonathan,Jablonowski,ELiGE,us,930696.42,Counter-Strike: Global Offensive,First-Person Shooter
Nick,Cannella,nitr0,us,920151.73,Counter-Strike: Global Offensive,First-Person Shooter
Jesper,Wecksell,JW,se,897760.68,Counter-Strike: Global Offensive,First-Person Shooter
Olof,Kajbjer,olofmeister,se,880011.52,Counter-Strike: Global Offensive,First-Person Shooter
Robin,Rönnquist,flusha,se,877668.95,Counter-Strike: Global Offensive,First-Person Shooter
Freddy,Johansson,KRiMZ,se,867823.34,Counter-Strike: Global Offensive,First-Person Shooter
Russel,Van Dulken,Twistzz,ca,835376.43,Counter-Strike: Global Offensive,First-Person Shooter
Dan,Madesclaire,apEX,fr,814852.39,Counter-Strike: Global Offensive,First-Person Shooter
Nathan,Schmitt,NBK,fr,805444.66,Counter-Strike: Global Offensive,First-Person Shooter
Ladislav,Kovács,GuardiaN,sk,798520.8,Counter-Strike: Global Offensive,First-Person Shooter
Tarik,Celik,tarik,us,780039.21,Counter-Strike: Global Offensive,First-Person Shooter
Håvard,Nygaard,rain,no,763799.57,Counter-Strike: Global Offensive,First-Person Shooter
Nikola,Kovač,NiKo,ba,762802.56,Counter-Strike: Global Offensive,First-Person Shooter
Egor,Vasilyev,flamie,ru,732920.07,Counter-Strike: Global Offensive,First-Person Shooter
Kenny,Schrub,kennyS,fr,713086.68,Counter-Strike: Global Offensive,First-Person Shooter
Daniil,Teslenko,Zeus,ua,689568.7,Counter-Strike: Global Offensive,First-Person Shooter
Alexander,Kostylev,s1mple,ua,677155.31,Counter-Strike: Global Offensive,First-Person Shooter
Richard,Papillon,shox,fr,660640.55,Counter-Strike: Global Offensive,First-Person Shooter
Janusz,Pogorzelski,snax,pl,653938.44,Counter-Strike: Global Offensive,First-Person Shooter
Markus,Kjærbye,Kjaerbye,dk,617000.5,Counter-Strike: Global Offensive,First-Person Shooter
Ioann,Sukharev,Edward,ua,613854.6,Counter-Strike: Global Offensive,First-Person Shooter
Filip,Kubski,neo,pl,606880.52,Counter-Strike: Global Offensive,First-Person Shooter
Chris,de Jong,chrisJ,nl,596748.79,Counter-Strike: Global Offensive,First-Person Shooter
Wiktor,Wojtas,TaZ,pl,591510.89,Counter-Strike: Global Offensive,First-Person Shooter
Will,Wierzba,Rush,us,586616.0,Counter-Strike: Global Offensive,First-Person Shooter
Jarosław,Jarząbkowski,pashaBiceps,pl,577382.35,Counter-Strike: Global Offensive,First-Person Shooter
Paweł,Bieliński,byali,pl,574103.56,Counter-Strike: Global Offensive,First-Person Shooter
Patrik,Lindberg,f0rest,se,547205.97,Counter-Strike: Global Offensive,First-Person Shooter
Denis,Sharipov,electroNic,ru,531541.99,Counter-Strike: Global Offensive,First-Person Shooter
Christopher,Alesund,GeT_RiGhT,se,517888.39,Counter-Strike: Global Offensive,First-Person Shooter
Richard,Landström,Xizt,se,513805.74,Counter-Strike: Global Offensive,First-Person Shooter
Robin,Kool,ropz,ee,506010.74,Counter-Strike: Global Offensive,First-Person Shooter
Cédric,Guipouy,RpK,fr,498887.62,Counter-Strike: Global Offensive,First-Person Shooter
Vincent,Schopenhauer,Happy,fr,485910.46,Counter-Strike: Global Offensive,First-Person Shooter
Peter,Jarguz,stanislaw,ca,481487.38,Counter-Strike: Global Offensive,First-Person Shooter
Jonas,Olofsson,Lekr0,se,464499.26,Counter-Strike: Global Offensive,First-Person Shooter
Timothy,Ta,autimatic,us,449799.56,Counter-Strike: Global Offensive,First-Person Shooter
Maikil,Selim,Golden,se,448642.48,Counter-Strike: Global Offensive,First-Person Shooter
Tyler,Latham,Skadoodle,us,437479.98,Counter-Strike: Global Offensive,First-Person Shooter
Aleksi,Jalli,allu,fi,418492.59,Counter-Strike: Global Offensive,First-Person Shooter
Renè,Borg,cajunb,dk,417465.86,Counter-Strike: Global Offensive,First-Person Shooter
Dauren,Kystaubayev,AdreN,kz,414305.65,Counter-Strike: Global Offensive,First-Person Shooter
Adam,Friberg,friberg,se,407662.41,Counter-Strike: Global Offensive,First-Person Shooter
Kristian,Wienecke,k0nfig,dk,403005.81,Counter-Strike: Global Offensive,First-Person Shooter
Vincent,Cayonte,Brehze,us,391973.94,Counter-Strike: Global Offensive,First-Person Shooter
Ethan,Arnold,nahtE,us,389680.38,Counter-Strike: Global Offensive,First-Person Shooter
Lincoln,Lau,fnx,br,387551.81,Counter-Strike: Global Offensive,First-Person Shooter
