Country,Venue,Opening act(s),Revenue,Tour,Attendance (tickets sold),Attendance (available)
United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler",360617,Fearless_Tour,7463,7463
United States,Convocation Center,"Gloriana
Kellie Pickler",340328,Fearless_Tour,7822,7822
United States,Scottrade Center,"Gloriana
Kellie Pickler",650420,Fearless_Tour,13764,13764
United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,North Charleston Coliseum,"Gloriana
Kellie Pickler",398154,Fearless_Tour,8751,8751
United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler",507012,Fearless_Tour,11072,11072
United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler",437313,Fearless_Tour,9436,9436
England,Shepherd's Bush Empire,Gloriana Kellie Pickler,401328,Fearless_Tour,6789,6789
United States,Spokane Arena,"Gloriana
Kellie Pickler",482146,Fearless_Tour,10798,10798
United States,KeyArena,"Gloriana
Kellie Pickler",528637,Fearless_Tour,12061,12061
United States,Rose Garden Arena,"Gloriana
Kellie Pickler",613284,Fearless_Tour,13226,13226
United States,Ford Arena,"Gloriana
Kellie Pickler",413622,Fearless_Tour,8970,8970
United States,Jobing.com Arena,"Gloriana
Kellie Pickler",647923,Fearless_Tour,13052,13052
United States,Staples Center,"Gloriana
Kellie Pickler",720940,Fearless_Tour,13648,13648
United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler",551051,Fearless_Tour,8311,8311
United States,Valley View Casino Center,"Gloriana
Kellie Pickler",502689,Fearless_Tour,10174,10174
United States,EnergySolutions Arena,"Gloriana
Kellie Pickler",555207,Fearless_Tour,13042,13042
United States,BamaJam Farms,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler",608438,Fearless_Tour,17619,17619
United States,Greensboro Coliseum,"Gloriana
Kellie Pickler",690959,Fearless_Tour,14641,14641
United States,Ford Festival Park,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Amphitheatre Concert Grounds,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
Canada,Commonwealth Stadium,Gloriana Kellie Pickler,2540906,Fearless_Tour,33910,44500
Canada,Big Valley Park,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
Canada,MTS Centre,"Gloriana
Kellie Pickler",512487,Fearless_Tour,11369,11369
United States,Country Thunder Festival,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Value City Arena,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Charleston Civic Center,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Cheyenne Frontier Days Arena,Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Barnett Arena,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,North Dakota State Fair Grandstand,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Soo Pass Ranch,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
England,Hylands Park,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
England,Weston Park,Gloriana Kellie Pickler,153303,Fearless_Tour,11208,11208
United States,Madison Square Garden,"Gloriana
Kellie Pickler",976062,Fearless_Tour,13597,13597
United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler",296306,Fearless_Tour,7507,7507
United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Freedom Hall,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Arena at Gwinnett Center,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Bi-Lo Center,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Cajundome,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,CenturyTel Center,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,BJCC Arena,"Gloriana
Kellie Pickler",153303,Fearless_Tour,11208,11208
United States,Bridgestone Arena,"Gloriana
Kellie Pickler",642387,Fearless_Tour,14269,14269
United States,American Airlines Center,"Gloriana
Kellie Pickler",628062,Fearless_Tour,13794,13794
United States,Verizon Arena,"Gloriana
Kellie Pickler",654089,Fearless_Tour,13978,13978
